date,price,month,year,day_of_week,100414,100415,100416,100442,100448,100458,100462,100467,100476,101448
2022-04-08,1558.3528048044,4,2022,4,1823.5860109751,1560.2994126045,1546.886894806,1561.9268423795,1589.887933511,1581.3135175853,1565.0254617494,1603.5125799257,1649.7713866326,1583.0244837933
2022-04-09,1496.7506627799,4,2022,5,1510.8247530346,1496.4824150467,1504.8101218269,1494.8611112857,1495.4066176967,1498.0116664707,1493.1439341654,1496.2358925546,1504.0352817417,1494.1959991554
2022-04-10,1404.6045891136,4,2022,6,1418.5329130178,1404.8793119404,1412.2506381987,1403.0291216393,1403.2442458411,1405.8297096739,1401.4521841787,1403.7889395903,1410.9426378372,1401.9087214268
2022-04-11,1556.6293867416,4,2022,0,1568.3353188557,1551.8122600604,1565.2181929855,1543.3286400482,1554.3598845031,1549.1625363882,1542.1771240704,1569.1018378123,1575.7719672965,1549.0206962717
2022-04-12,1501.3081144262,4,2022,1,1510.6539990721,1496.5667053998,1508.8136410351,1489.101830218,1499.4188984687,1494.7309320841,1488.1498005474,1513.2133958409,1519.3987557843,1494.2845026231
2022-04-13,1435.6984417605,4,2022,2,1438.0664989314,1428.5723217805,1440.0543197421,1424.7138107956,1435.2277703655,1431.054161621,1424.5051215257,1447.9897889523,1454.7116979081,1430.4081626773
2022-04-14,1388.2286469051,4,2022,3,1388.0054669664,1384.1053443596,1391.9055051965,1378.9868835704,1388.2264793962,1384.8509829487,1378.9198432579,1398.9619604459,1404.4707718015,1384.0213208255
2022-04-15,1437.06193995,4,2022,4,1441.583470459,1430.8535969668,1442.6054337963,1427.4230437975,1436.2997249013,1432.6093149583,1426.6642838782,1447.7545254737,1453.6514082047,1431.8430833283
2022-04-16,1396.9547565462,4,2022,5,1395.0525396468,1390.4706761962,1398.2976016732,1390.5516733894,1398.6845293328,1395.998479048,1389.6360969997,1408.1679784286,1413.5304339998,1394.6714723202
2022-04-17,1312.8211164317,4,2022,6,1301.5971740315,1301.0014978637,1311.8440224209,1308.8226097737,1316.5514478051,1314.7530286286,1308.1990019571,1323.491811899,1327.8988042009,1313.2009768798
2022-04-18,1464.0329729284,4,2022,0,1467.8009470198,1448.5740730746,1468.7491880753,1454.5995805209,1463.1200894901,1460.2701821169,1452.9983474403,1472.3234635002,1478.3689086304,1459.1356814638
2022-04-19,1384.0444695872,4,2022,1,1383.8667388312,1375.4449639528,1389.8583366585,1379.0242556669,1384.4799232424,1383.9095076864,1378.1961705171,1389.1425798822,1393.671614667,1381.7726965188
2022-04-20,1372.5662061604,4,2022,2,1378.0279347271,1355.1323808765,1377.5730987227,1363.3605156466,1370.8960434505,1368.3370253222,1361.9011888114,1379.8678142794,1385.5256468296,1367.139219942
2022-04-21,1472.0320316063,4,2022,3,1462.2760041006,1460.5109897622,1472.7150505043,1466.5957042743,1474.1185504905,1472.5024832117,1465.4087373028,1481.2952375681,1486.9678005296,1470.7048805095
2022-04-22,1388.0616348262,4,2022,4,1384.9447918494,1384.2321905418,1391.3802749777,1389.4554812605,1393.1230197931,1394.8354007452,1388.8983507948,1394.3155269533,1400.3360346431,1391.6316147937
